state,year,so2,no2,rspm,spm,pm2_5
Himachal Pradesh,1987.0,,,,227.625,
Himachal Pradesh,1988.0,0.4,17.0625,,265.125,
Himachal Pradesh,1989.0,2.5500000000000003,16.604545454545455,,259.0,
Himachal Pradesh,1990.0,3.494642857142857,14.246875,,202.171875,
Himachal Pradesh,1991.0,2.6229166666666663,21.425714285714285,,203.44285714285715,
Himachal Pradesh,1992.0,8.7,13.796774193548387,,196.2258064516129,
Himachal Pradesh,1995.0,3.957142857142857,9.125,,209.01234567901236,
Himachal Pradesh,1996.0,0.8937499999999999,11.380208333333334,,174.98958333333334,
Himachal Pradesh,1997.0,6.309375,11.742857142857142,,126.59420289855072,
Himachal Pradesh,1998.0,2.797916666666667,9.447191011235956,,161.73033707865167,
Himachal Pradesh,1999.0,1.8254237288135593,8.822916666666666,,163.44791666666666,
Himachal Pradesh,2000.0,1.3042105263157895,6.905263157894737,,135.23157894736843,
Himachal Pradesh,2001.0,3.209375,12.777083333333332,,,
Himachal Pradesh,2002.0,3.5083333333333333,14.620833333333332,,156.56338028169014,
Himachal Pradesh,2004.0,3.4740034662045063,12.746127366609294,,188.24173913043478,
Himachal Pradesh,2005.0,5.277456647398844,16.775199999999998,39.34615384615385,212.66091954022988,
Himachal Pradesh,2006.0,4.889176829268293,15.584556574923546,91.27146171693735,265.27777777777777,
Himachal Pradesh,2007.0,3.601996007984032,13.213611859838275,87.34767025089606,213.76417370325694,
Himachal Pradesh,2008.0,3.247016706443914,12.435258814703676,107.46584699453553,204.56279701289884,
Himachal Pradesh,2009.0,3.5369165487977368,14.283506686478454,96.43218552354182,183.54602076124567,
Himachal Pradesh,2010.0,2.756587202007528,14.698066126013725,102.70642201834862,,
Himachal Pradesh,2011.0,2.558982683982684,12.415560640732265,92.99582289055974,,
Himachal Pradesh,2012.0,2.054054054054054,14.09573810994441,92.93574828133262,,
Himachal Pradesh,2013.0,2.1590658041181134,14.252573438146463,91.1989914662529,,
Himachal Pradesh,2014.0,2.1472187369301547,14.10376569037657,89.68555107525403,,
Himachal Pradesh,2015.0,2.3745957102395794,12.928192432247673,79.72430115636878,,
Jammu & Kashmir,2009.0,8.430526315789473,11.990526315789472,99.48936170212765,196.22105263157894,
Jammu & Kashmir,2010.0,6.444444444444445,14.306666666666667,111.67873303167421,,
Jammu & Kashmir,2011.0,5.301587301587301,11.85483870967742,105.93548387096774,,
Jammu & Kashmir,2012.0,5.811881188118812,12.301980198019802,119.46078431372548,,
Jammu & Kashmir,2013.0,14.741379310344827,4.771551724137931,118.09333333333333,,
Jammu & Kashmir,2014.0,5.3812154696132595,12.640883977900552,122.98882681564245,,
Jammu & Kashmir,2015.0,3.525925925925926,16.67037037037037,125.28308823529412,,
Jharkhand,2004.0,26.523786407766988,57.737808564231734,162.5371287128713,278.59158415841586,
Jharkhand,2005.0,26.237214611872144,49.413698630136984,141.52727272727273,279.925,
Jharkhand,2006.0,32.22213740458015,52.898473282442744,150.70229007633588,270.55725190839695,
Jharkhand,2007.0,26.060732984293193,49.712390924956374,147.8658536585366,249.5741710296684,
Jharkhand,2008.0,25.671150097465887,44.040350877192985,161.55086372360844,261.4538310412574,
Jharkhand,2009.0,25.65011037527594,42.802654867256635,186.9145299145299,326.6068376068376,
Jharkhand,2010.0,23.514099221776913,39.51568093385214,190.1105336721728,289.83853146853147,
Jharkhand,2011.0,21.257104194857916,38.37618403247632,189.69647696476966,,
Jharkhand,2012.0,22.757668711656443,41.5,174.1996974281392,,
Jharkhand,2013.0,22.32160993653277,40.95242635657505,151.1040022172062,,
Jharkhand,2014.0,13.863333333333333,36.159468438538205,162.92739273927393,,
Jharkhand,2015.0,19.331645569620253,37.93417721518988,160.16791979949875,,
Karnataka,1987.0,18.377777777777776,6.443478260869565,,76.18518518518519,
Karnataka,1988.0,24.233333333333334,10.935555555555556,,106.04651162790698,
Karnataka,1989.0,19.89186046511628,13.313793103448276,,121.02298850574712,
Karnataka,1990.0,19.22888888888889,10.963333333333335,,107.66666666666667,
Karnataka,1991.0,16.708196721311477,15.322950819672132,,95.9672131147541,
Karnataka,1992.0,18.966666666666665,27.25,,86.57142857142857,
Karnataka,1993.0,24.041666666666668,28.599999999999998,,161.0,
Karnataka,1994.0,25.545833333333334,26.275000000000002,,105.20833333333333,
Karnataka,1995.0,33.54090909090909,31.031818181818185,,97.0909090909091,
Karnataka,1996.0,29.894736842105264,29.36842105263158,,121.34210526315789,
Karnataka,1997.0,29.933333333333334,23.94912280701754,,149.8793103448276,
Karnataka,1998.0,34.83166666666667,25.716666666666665,,137.46666666666667,
Karnataka,1999.0,34.991379310344826,27.010344827586206,,131.5,
Karnataka,2000.0,24.60847457627119,35.5864406779661,,129.54237288135593,
Karnataka,2001.0,20.81964285714286,25.873214285714287,,133.34,
Karnataka,2002.0,16.071666666666665,26.228333333333335,,70.96666666666667,
Karnataka,2004.0,8.890434782608695,40.73913043478261,65.50406956521739,129.1895652173913,
Karnataka,2005.0,10.36987951807229,35.13602739726027,60.72976190476191,135.09404761904761,
Karnataka,2006.0,12.822597137014315,26.53690036900369,62.17183770883055,164.8030303030303,
Karnataka,2007.0,12.43249409913454,25.473413258110018,74.64857341684063,182.88169798190674,
Karnataka,2008.0,11.861159169550174,26.16227371469949,77.71026011560694,194.31069364161849,
Karnataka,2009.0,10.849551166965888,26.637931034482758,81.78676470588235,196.9828431372549,
Karnataka,2011.0,10.332100769603175,20.992033165104544,70.48810382119683,,
Karnataka,2012.0,11.253374233128834,23.384995617879053,87.84615249780894,,
Karnataka,2013.0,8.545924967658474,18.009486847779215,82.10349288486417,,
Karnataka,2014.0,8.320222317229586,18.55964087216759,88.74902131361462,,
Karnataka,2015.0,5.54719387755102,16.78486394557823,90.32428562696488,,
Kerala,1987.0,,2.9,,,
Kerala,1988.0,3.8333333333333335,19.083333333333332,,97.37209302325581,
Kerala,1989.0,4.8730769230769235,19.984615384615385,,126.27777777777777,
Kerala,1990.0,7.021794871794873,14.36025641025641,,130.61194029850745,
Kerala,1991.0,5.330612244897959,15.387417218543046,,124.65734265734265,
Kerala,1992.0,7.107518796992481,18.551879699248122,,116.82307692307693,
Kerala,1993.0,9.029605263157896,23.038815789473684,,18.0,
Kerala,1994.0,11.847435897435897,21.648717948717948,,109.91025641025641,
Kerala,1995.0,10.075974025974027,19.350649350649352,,109.68181818181819,
Kerala,1996.0,8.336363636363636,19.925324675324674,,112.53246753246754,
Kerala,1997.0,9.346451612903227,16.29032258064516,,100.89032258064516,
Kerala,1998.0,8.1,13.995424836601309,,135.23529411764707,
Kerala,1999.0,11.046794871794871,18.623076923076923,,120.96078431372548,
Kerala,2000.0,14.067283950617284,23.457407407407405,,71.04320987654322,
Kerala,2001.0,9.977639751552795,14.643478260869564,,163.14851485148515,
Kerala,2002.0,9.098170731707317,10.251219512195123,,125.58095238095238,
Kerala,2005.0,9.935363457760316,19.356190476190477,69.42302878598248,100.54471544715447,
Kerala,2006.0,9.656916099773243,17.918973214285714,67.733492442323,95.29514717581543,
Kerala,2007.0,8.001632653061225,17.148016194331984,51.506321112515806,80.08912768647282,
Kerala,2008.0,6.945961002785515,17.65121212121212,47.523136246786635,79.04434447300771,
Kerala,2009.0,6.62,16.519705694177862,46.56495468277946,73.9619335347432,
Kerala,2010.0,4.33663489181616,13.541054806224695,42.882370608234226,62.98020203246717,
Kerala,2011.0,4.227283558379666,14.046364719904647,42.5484511517077,59.44432989690721,
Kerala,2012.0,3.9516660941257298,12.104190999656476,54.38852627962899,,
Kerala,2013.0,3.858992537313433,11.361082089552239,55.17313432835821,,
Kerala,2014.0,4.168224299065421,12.57568296189432,50.96345554760963,,
Kerala,2015.0,3.9335523913837167,14.27747353048558,45.94633077765608,,
Madhya Pradesh,1988.0,14.161538461538461,8.669230769230769,,236.69230769230768,
Madhya Pradesh,1989.0,18.477551020408164,21.014285714285716,,245.44897959183675,
Madhya Pradesh,1990.0,17.585074626865673,21.657142857142855,,274.9012345679012,
Madhya Pradesh,1991.0,15.699212598425197,21.24054054054054,,252.71523178807948,
Madhya Pradesh,1992.0,17.78125,22.956410256410255,,171.3372093023256,
Madhya Pradesh,1993.0,18.08449612403101,20.588970588235295,,294.3333333333333,
Madhya Pradesh,1994.0,13.92,20.51025641025641,,0.0,
Madhya Pradesh,1995.0,21.00952380952381,27.01153846153846,,305.03846153846155,
Madhya Pradesh,1996.0,18.384756097560974,22.546951219512195,,276.2899408284024,
Madhya Pradesh,1997.0,20.71168831168831,24.684939759036144,,191.54166666666666,
Madhya Pradesh,1998.0,19.322222222222223,24.527272727272727,,260.9578313253012,
Madhya Pradesh,1999.0,18.49285714285714,24.516393442622952,,278.59420289855075,
Madhya Pradesh,2000.0,20.469753086419754,26.44197530864198,,158.4,
